"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","162.159.136.234","192.168.1.13","TLSv1.2","132","Application Data"
"2","0.045565","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=1 Ack=79 Win=1027 Len=0"
"3","0.387067","192.168.1.12","224.0.0.251","MDNS","822","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"4","0.388031","fe80::18af:509e:62d9:28ab","ff02::fb","MDNS","842","Standard query response 0x0000 TXT TXT, cache flush PTR _rdlink._tcp.local PTR iPad di Leonardo (3)._rdlink._tcp.local SRV, cache flush 0 0 49153 iPad-di-Leonardo-2.local TXT, cache flush PTR _companion-link._tcp.local PTR iPad di Leonardo (3)._companion-link._tcp.local SRV, cache flush 0 0 51220 iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local PTR, cache flush iPad-di-Leonardo-2.local A, cache flush 192.168.1.12 AAAA, cache flush fe80::18af:509e:62d9:28ab NSEC, cache flush iPad di Leonardo (3)._rdlink._tcp.local NSEC, cache flush iPad di Leonardo (3)._companion-link._tcp.local NSEC, cache flush 12.1.168.192.in-addr.arpa NSEC, cache flush B.A.8.2.9.D.2.6.E.9.0.5.F.A.8.1.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush iPad-di-Leonardo-2.local OPT"
"5","0.757441","162.159.136.234","192.168.1.13","TLSv1.2","169","Application Data"
"6","0.811970","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=1 Ack=194 Win=1027 Len=0"
"7","1.834227","162.159.136.234","192.168.1.13","TLSv1.2","143","Application Data"
"8","1.882098","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=1 Ack=283 Win=1027 Len=0"
"9","2.103308","162.159.136.234","192.168.1.13","TLSv1.2","147","Application Data"
"10","2.143935","192.168.1.13","162.159.136.234","TCP","54","54941  >  443 [ACK] Seq=1 Ack=376 Win=1026 Len=0"
